STATUS | wrapper  | 2024/11/22 13:33:37 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2024/11/22 13:33:39 | System going to Shutdown --- received process interrupt
INFO   | jvm 1    | 2024/11/22 13:33:39 | Shutting down the JVM now!
INFO   | jvm 1    | 2024/11/22 13:33:39 | Stopping Services
INFO   | jvm 1    | 2024/11/22 13:33:39 | TableTemplateService                              [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | TemplateService                                   [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | ClientFrameworkService                            [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | WebService                                        [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | TaskEngineService                                 [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | AuthorizationService                              [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | AuthenticationService                             [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | PatchUpdaterService                               [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | CacheService                                      [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 13:33:39 | Destroying Services
INFO   | jvm 1    | 2024/11/22 13:33:39 | TableTemplateService                              [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | TemplateService                                   [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | ClientFrameworkService                            [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | WebService                                        [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | TaskEngineService                                 [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | AuthorizationService                              [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | AuthenticationService                             [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | PatchUpdaterService                               [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | CacheService                                      [DESTROYED]
INFO   | jvm 1    | 2024/11/22 13:33:39 | Stopping Module processors
INFO   | jvm 1    | 2024/11/22 13:33:39 | 
INFO   | jvm 1    | 2024/11/22 13:33:39 | ModuleStopProcess:: Persistence::DBAUDIT     [ STOPPED ]
STATUS | wrapper  | 2024/11/22 13:33:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 13:33:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 13:33:48 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 13:33:48 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 13:33:48 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 13:33:48 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 13:33:48 | 
STATUS | wrapper  | 2024/11/22 13:33:49 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 13:33:49 | WrapperManager: Initializing...
